the_geom,NAME,ACRES,PARKID,NEW_CLASS
"MULTIPOLYGON (((-83.1403078512768 42.43746982570372, -83.14030900871815 42.43747348052796, -83.14030890129568 42.437478942871714, -83.14030754691282 42.43748530234437, -83.1403062104335 42.43749075142639, -83.1403036448971 42.43749618724661, -83.14029985030332 42.43750160980497, -83.14029484455583 42.43750610871071, -83.14028983880759 42.43751060761622, -83.14028483305864 42.43751510652151, -83.14027738709862 42.437518668511885, -83.14027118809939 42.43752133337326, -83.1402637779467 42.4375230745815, -83.14025636779357 42.43752481578924, -83.14024774648728 42.437525633343505, -83.14024037214294 42.437525553768985, -83.14023176874122 42.43752546093143, -83.1402244302069 42.43752356057466, -83.14021709167302 42.437521660217406, -83.14020975313959 42.437519759859654, -83.14020367947444 42.437516051983096, -83.14019760580999 42.437512344106224, -83.14019155005174 42.437507725838415, -83.14018672335133 42.4375031208333, -83.14018312570846 42.437498529091094, -83.14018077502851 42.43749304022128, -83.13996351596734 42.437163795898904, -83.13996237646072 42.437159230680535, -83.13996248391298 42.43715376833703, -83.13996259136523 42.43714830599352, -83.13996390995857 42.43714376730607, -83.13996647551008 42.43713833149343, -83.13997025220213 42.43713381933672, -83.13997402889365 42.437129307179866, -83.1399790167256 42.43712571867878, -83.13998400455698 42.437122130177464, -83.1399902035288 42.4371194653317, -83.13999638459187 42.43711771087619, -83.14000379470389 42.437115969685344, -83.14000995785824 42.43711512561969, -83.14001733215376 42.437115205209174, -83.1400247064493 42.437115284798175, -83.14002593549856 42.43711529806294, -83.14021643813996 42.43711735394419, -83.14022504148535 42.43711744678289, -83.14023362692605 42.43711845001157, -83.14024219446236 42.43712036363024, -83.14024953294978 42.43712226398592, -83.14025806467836 42.43712599838465, -83.14026415621308 42.43712879586773, -83.14027144098958 42.43713342739388, -83.1402774967174 42.437138045657505, -83.14028232339626 42.437142650658814, -83.14028713217186 42.43714816605055, -83.14029069399434 42.4371545785708, -83.14029304467121 42.43716006743842, -83.14029537744464 42.43716646669662, -83.1402964811681 42.43717285269293, -83.14029642745658 42.43717558386485, -83.1403078512768 42.43746982570372)))",Sherwood,0.26,171,Mini
"MULTIPOLYGON (((-83.12733518039052 42.37225766059051, -83.12673259119674 42.37248601291088, -83.12643931001121 42.37208443743262, -83.12703685870743 42.37186571964856, -83.12733518039052 42.37225766059051)))",Schultz,0.42,18,Mini
"MULTIPOLYGON (((-83.06624526107088 42.34901795844148, -83.06641578467863 42.348964365728506, -83.066637291609 42.34935117555641, -83.06646676713518 42.349404768601886, -83.06629624236868 42.349458361391136, -83.06616242912311 42.34922280444996, -83.06607473717048 42.34907155089821, -83.06624526107088 42.34901795844148)))",West Willis #1,0.18,201,Mini
"MULTIPOLYGON (((-83.06976969134108 42.34830795498968, -83.06958433150214 42.34836684671264, -83.06941963897638 42.34808085794351, -83.069637134316 42.34801140659233, -83.06976969134108 42.34830795498968)))",West Willis #2,0.15,203,Mini
"MULTIPOLYGON (((-83.06984119299314 42.42336743435789, -83.06904446223243 42.423382014079266, -83.06903787550475 42.423107849507716, -83.06946329078421 42.423099958603196, -83.06946196928511 42.42304530776936, -83.06983084235603 42.423037680575575, -83.06983207111257 42.42303769459939, -83.06984119299314 42.42336743435789)))",Twork,0.54,242,Mini
"MULTIPOLYGON (((-83.08716258115587 42.345942050951926, -83.08679813749745 42.34605540818658, -83.08670459966524 42.34588771445483, -83.08670830005136 42.34588684559475, -83.0870653234869 42.345776136776394, -83.08706902386137 42.34577526790455, -83.08716258115587 42.345942050951926)))",16th-Forest,0.16,303,Mini
"MULTIPOLYGON (((-83.10302896916366 42.36277637105696, -83.10273081910658 42.362886875759074, -83.10255089222242 42.36261624770239, -83.10284904130566 42.36250574347228, -83.10302896916366 42.36277637105696)))",Kantgias,0.23,311,Mini
"MULTIPOLYGON (((-83.05674034946716 42.43637529740583, -83.05637012863708 42.4363846886876, -83.05636478696546 42.43634638200701, -83.05619875506304 42.43634993127688, -83.05620221715571 42.43641917661083, -83.05620098813861 42.43641916243965, -83.05594395136181 42.43642439376412, -83.05594272234468 42.43642437959014, -83.0559131102455 42.43590317624244, -83.05671250028836 42.43588689617072, -83.05674034946716 42.43637529740583)))",Hasse-Emery,0.89,313,Mini
"MULTIPOLYGON (((-83.27015715180657 42.435473586287884, -83.27015807679831 42.43612009600489, -83.2697117533954 42.436125805320266, -83.26971329111664 42.43547931932469, -83.27015715180657 42.435473586287884)))",Frisbee-Pembroke,0.72,377,Mini
"MULTIPOLYGON (((-83.01369039178711 42.366873440129034, -83.01324486977417 42.367032949384004, -83.01308199262778 42.36678605425826, -83.01308941766192 42.36678341096852, -83.0135201080303 42.36662827858863, -83.01352753302713 42.36662563527023, -83.01369039178711 42.366873440129034)))",Sylvester-Field,0.31,415,Mini
"MULTIPOLYGON (((-83.06441655955065 42.34122776536128, -83.06409877173131 42.3413397640689, -83.06383478407288 42.34087323896956, -83.06415849682993 42.34077132561183, -83.06441655955065 42.34122776536128)))",4th-Charlotte,0.33,428,Mini
"MULTIPOLYGON (((-83.1403909671111 42.32946985211033, -83.14002603688036 42.32961797518983, -83.13986460238034 42.32940224199672, -83.14022953173365 42.32925411943621, -83.1403909671111 42.32946985211033)))",Lumley-Michigan,0.23,432,Mini
"MULTIPOLYGON (((-83.07983277826338 42.335706942626274, -83.08006996408787 42.33563223162478, -83.08008108245247 42.33562871530967, -83.0801391447212 42.335729539180335, -83.07988961316116 42.33580775270885, -83.0797747291448 42.33584378425738, -83.07971789439965 42.335742974117295, -83.07973025860275 42.335738561370405, -83.07983277826338 42.335706942626274)))",15th-Butternut,0.07,450,Mini
"MULTIPOLYGON (((-83.0056527650444 42.398814163793915, -83.00474661880347 42.398848952401174, -83.0047178025389 42.3983543764205, -83.00561142669487 42.39830923391786, -83.0056527650444 42.398814163793915)))",Armour-Knodell,0.86,472,Mini
"MULTIPOLYGON (((-83.08498554873229 42.385867091288915, -83.08411547257624 42.386186903128134, -83.08387948854542 42.38583548003215, -83.0842173777115 42.385710902555175, -83.08454785998924 42.38558806165093, -83.08456577537575 42.38561284996498, -83.08476628583394 42.38553862365171, -83.08498554873229 42.385867091288915)))",Maiullo,0.84,479,Mini
"MULTIPOLYGON (((-83.0165303681271 42.41486520875905, -83.01571868664404 42.415177003684086, -83.01550126136746 42.41494585620254, -83.01635633530549 42.41461636649043, -83.0165303681271 42.41486520875905)))",Facsko,0.46,54,Mini
"MULTIPOLYGON (((-82.97216112407342 42.41781782676377, -82.97181292703843 42.41794559140809, -82.97160119347701 42.41763156219764, -82.97155810309818 42.41758003877297, -82.97144444485485 42.41749668793221, -82.97135548836158 42.41746281343517, -82.97136181475163 42.417454695612456, -82.97158155381618 42.41713594763134, -82.97170195832065 42.41713742601281, -82.97216112407342 42.41781782676377)))",Glenfield-Lannett,0.68,321,Mini
"MULTIPOLYGON (((-83.15519652009242 42.410111715329265, -83.15455724729345 42.41012766098662, -83.15454537214083 42.409853448960405, -83.15518464213322 42.40983750336974, -83.15518458909696 42.40984023455129, -83.1551965731284 42.410108984147726, -83.15519652009242 42.410111715329265)))",Lollo,0.4,362,Mini
"MULTIPOLYGON (((-83.1797749310915 42.35660600634115, -83.17923575887433 42.356616757675674, -83.17923207645514 42.35661671915314, -83.17922835940965 42.35661850142787, -83.1791214999933 42.356621025813546, -83.17910527901782 42.35618286720888, -83.17910410349782 42.35618012317062, -83.17910901335564 42.35618017453951, -83.17921585470489 42.356178560564246, -83.17975872284028 42.356166937431, -83.1797749310915 42.35660600634115)))",Wolf,0.68,386,Mini
"MULTIPOLYGON (((-83.140665771798 42.44111258204254, -83.14066571809926 42.4411153132142, -83.14066683983009 42.44112078881534, -83.14066671453311 42.441127161549176, -83.14066537800711 42.44113261063462, -83.14066281235219 42.44113804646216, -83.14065901756805 42.44114346903171, -83.14065522278325 42.44114889160112, -83.1406502167686 42.44115339052186, -83.14064521075323 42.44115788944236, -83.14063899350798 42.44116146471396, -83.14063277626201 42.441165039985215, -83.14062534778624 42.441167691607326, -83.14061793721014 42.441169432838386, -83.14060931540472 42.44117025041996, -83.1406019227284 42.44117108125944, -83.1405945479525 42.44117100170789, -83.14051861046224 42.44115652378949, -83.14044390213594 42.44114205908058, -83.14036798261984 42.44112667067103, -83.14029329226926 42.44111129547264, -83.14021986689544 42.441094112706885, -83.14014521243473 42.44107691663021, -83.14008892328843 42.44106356102926, -83.14008648294227 42.44106262411058, -83.14007914399613 42.44106072374469, -83.14007305208564 42.44105792625214, -83.14006697808398 42.44105421836881, -83.14006090408307 42.441050510485134, -83.14005607711809 42.44104590547516, -83.14005247928047 42.441041313729464, -83.14004889935192 42.441035811593196, -83.14004653064184 42.44103123311184, -83.14004540896708 42.44102575750456, -83.14004553432736 42.44101938477138, -83.140045641779 42.44101392242865, -83.1400469783566 42.44100847335047, -83.14004954405986 42.441003037536795, -83.14005205603718 42.441000332894454, -83.14005333888846 42.44099761498756, -83.14005458592271 42.44099671786159, -83.1400873669603 42.44095518477195, -83.14012141289331 42.44091184415561, -83.14015424756272 42.44086757987513, -83.1401870821855 42.44082331558509, -83.14021745851866 42.44077902476009, -83.14024785271424 42.44073382353641, -83.14027824686576 42.44068862230449, -83.1403061827355 42.44064339454092, -83.14033413646901 42.440597256379874, -83.1403608610441 42.44055110495072, -83.14038758557965 42.4405049535152, -83.14041186974823 42.440457865161584, -83.14043615388017 42.440410776802686, -83.14046043797542 42.44036368843853, -83.14048226380912 42.44031657354942, -83.14050410751152 42.44026854826548, -83.14052470416834 42.440221420108415, -83.14054531869508 42.44017338155698, -83.14054920293513 42.44016340703818, -83.14055419097666 42.440159818512285, -83.14056039022607 42.44015715363575, -83.14056657157421 42.44015539914943, -83.14057275292198 42.440153644662786, -83.14058014547808 42.440152813825165, -83.14058752013355 42.44015289337765, -83.14059364777944 42.44015387006159, -83.14060100453477 42.44015486000375, -83.14060709638073 42.44015765746811, -83.14061320612731 42.44015954454158, -83.14061805096483 42.44016323913748, -83.14062289580293 42.44016693373318, -83.14062531822219 42.44016878103097, -83.140665771798 42.44111258204254)))",Hyde,0.75,88,Mini
"MULTIPOLYGON (((-82.99113345149405 42.36288707520268, -82.99076306221156 42.36303465843248, -82.99071063471224 42.362962084715775, -82.99072303065232 42.36295677130331, -82.99106864786509 42.36281890474076, -82.99108102368815 42.36281450165682, -82.99113345149405 42.36288707520268)))",Brinkett-Hibbard,0.16,455,Mini
"MULTIPOLYGON (((-82.99891872340713 42.3590527767969, -82.99891500107854 42.35905455316314, -82.99872795607762 42.359129700992, -82.998724233739 42.35913147735199, -82.99862538462813 42.358991873421594, -82.99862298950943 42.35898911272698, -82.99881747886175 42.35891041234516, -82.99891872340713 42.3590527767969)))",Kercheval-Parker,0.09,453,Mini
"MULTIPOLYGON (((-83.07312537646979 42.32954606770535, -83.07311303187781 42.32954956935075, -83.0729005500669 42.329617262574125, -83.07269548589612 42.329682308211, -83.07268312239478 42.32968672019163, -83.07224595196126 42.32893049079316, -83.07268820166705 42.32878984001008, -83.07312537646979 42.32954606770535)))",Muliett,0.9,189,Mini
"MULTIPOLYGON (((-83.06189320859016 42.329832490285895, -83.06174834655619 42.32989365559471, -83.06174238310359 42.32988539161694, -83.06151529754794 42.329594119732185, -83.06150810723823 42.32958584162834, -83.06165176089733 42.32952375213368, -83.06165893219998 42.32953294060857, -83.06188603721867 42.32982330182581, -83.06189320859016 42.329832490285895)), ((-83.06187104480207 42.329366008777505, -83.06140667264206 42.32956555215223, -83.06116522838539 42.32925681296412, -83.06162959902167 42.32905727057709, -83.06187104480207 42.329366008777505)))",Murphy,0.57,49,Mini
"MULTIPOLYGON (((-83.09663367192735 42.337093664643525, -83.09662995368866 42.33709544421315, -83.09630478964873 42.33721200262494, -83.09630108991001 42.33721287179797, -83.09605947592482 42.33684228693403, -83.09606317564494 42.336841417768866, -83.09638956527115 42.33672487378567, -83.09639328349463 42.33672309422391, -83.09663367192735 42.337093664643525)))",Bloomfield,0.34,266,Mini
"MULTIPOLYGON (((-83.09618963559112 42.341847453506674, -83.09598578269424 42.34191255496438, -83.09581163214419 42.34160373491133, -83.09601661876457 42.3415431994356, -83.09618963559112 42.341847453506674)))",Buchanan-Tillman,0.17,456,Mini
"MULTIPOLYGON (((-83.08578384477848 42.335718730381565, -83.08522169297191 42.335899965755964, -83.08521695288641 42.33589171687008, -83.08490416605744 42.33534455881063, -83.08491651113354 42.335341055882616, -83.08545755650229 42.33517142148112, -83.08546992018678 42.33516700810881, -83.08578384477848 42.335718730381565)))",Downey,0.84,230,Mini
"MULTIPOLYGON (((-83.13590934911437 42.3594251564293, -83.13554091386935 42.35943026695406, -83.135461089217 42.359431222344845, -83.13541442553418 42.35943162678868, -83.1352461835851 42.35943344412109, -83.1352437644571 42.35943159670445, -83.13501913266379 42.35911773897531, -83.1355400623056 42.35891304455486, -83.1355425352744 42.35891216078958, -83.13590815748623 42.35942332233614, -83.13590934911437 42.3594251564293)))",Sirotkin,0.58,172,Mini
"MULTIPOLYGON (((-83.20403674034173 42.35437942719249, -83.2040717589853 42.35520203608402, -83.20302092295923 42.35440817237459, -83.20403674034173 42.35437942719249)))",Constance-St. Marys,0.95,398,Mini
"MULTIPOLYGON (((-83.26434454251617 42.421754818793204, -83.26402722974525 42.42176813023655, -83.26399684842296 42.42174871353124, -83.26396554414418 42.42171198710977, -83.26396683170329 42.421639154336965, -83.26401018142022 42.42148113655843, -83.26407881997567 42.42135250226607, -83.26411485643006 42.421330087796, -83.26415996665791 42.42135055795051, -83.26418981682924 42.421400018132616, -83.2642289018212 42.42148325884014, -83.26425266245163 42.421599131226436, -83.26431388160663 42.42168167607918, -83.26436717524408 42.42172590024914, -83.26439369338496 42.42175529560247, -83.26434454251617 42.421754818793204)), ((-83.13605951628138 42.41864310385088, -83.13603937475159 42.41823130122352, -83.13640947568764 42.41822165043859, -83.13642839097307 42.418633439696805, -83.13605951628138 42.41864310385088)))",Belden-Santa Maria,0.34,373,Mini
"MULTIPOLYGON (((-83.19458187516571 42.409284680160106, -83.19418354632234 42.40929604960272, -83.19417642831085 42.40902098205885, -83.1945685957608 42.409010459666135, -83.19458187516571 42.409284680160106)))",Puritan-Coyle,0.29,371,Mini
"MULTIPOLYGON (((-83.10219779760493 42.434068216511, -83.10212769030613 42.43407016823555, -83.10182759736861 42.43407775585772, -83.10166034513585 42.43408135785813, -83.10138976610905 42.434088362247074, -83.101364667593 42.433083701844815, -83.10219779760493 42.434068216511)))",Coventry,0.88,47,Mini
"MULTIPOLYGON (((-83.10755148532064 42.3926539326485, -83.10715179246273 42.392797927032454, -83.1066970760707 42.39213816877338, -83.1070967657524 42.391994175987094, -83.10755148532064 42.3926539326485)))",Woodrow Wilson-Fullerton,0.74,342,Mini
"MULTIPOLYGON (((-83.084927679334 42.44335038152102, -83.08492522101366 42.443350353799886, -83.08448747154596 42.443353612022044, -83.08448255490542 42.443353556560666, -83.08444660607285 42.44253088591191, -83.08489049548697 42.442527697152, -83.084927679334 42.44335038152102)))",Marx-Remington,0.83,325,Neighborhood
"MULTIPOLYGON (((-83.1093567741959 42.294942951039744, -83.10900560732694 42.295083840807074, -83.10886834437896 42.29489564715608, -83.10887947219747 42.29489121763117, -83.10921951050001 42.29475475781388, -83.1093567741959 42.294942951039744)))",Cottrell,0.49,478,Mini
"MULTIPOLYGON (((-83.09013116348845 42.325323206115314, -83.08964616699214 42.32551716807182, -83.08955904552387 42.325396899529004, -83.09004283312422 42.325202013754605, -83.09013116348845 42.325323206115314)))",25th-Toledo,0.17,302,Mini
"MULTIPOLYGON (((-83.01461484124233 42.37028465842566, -83.01460741585639 42.37028730181501, -83.01425465999249 42.37041513817808, -83.01424721485299 42.37041869191541, -83.01414738131841 42.37026543133315, -83.01451375959829 42.37013229391589, -83.01461484124233 42.37028465842566)))",Canfield-Sheridan,0.16,414,Mini
"MULTIPOLYGON (((-83.02452472723922 42.35624507021272, -83.02467570660664 42.35618948725305, -83.02485050459673 42.356453807989496, -83.02469954431182 42.35650848080784, -83.0245498112007 42.35656316793886, -83.02454624629581 42.35655766215705, -83.02437622203954 42.35629977162871, -83.02452472723922 42.35624507021272)))",Benson-Elmwood,0.22,425,Mini
"MULTIPOLYGON (((-83.03880144833002 42.37659921923327, -83.03831994567386 42.37677570755831, -83.03821286961322 42.376613278219004, -83.03855791947758 42.37638511122735, -83.03856394241296 42.37639064529091, -83.03880144833002 42.37659921923327)))",Lucky Place,0.26,439,Mini
"MULTIPOLYGON (((-83.08079633132574 42.34398880622384, -83.08057889989993 42.344056458195375, -83.08041545184727 42.34376776812703, -83.08062053547657 42.343703618930114, -83.0806217064341 42.343706363986826, -83.08070102313015 42.34384840513156, -83.08071584327027 42.3438440200902, -83.08079516035521 42.34398606116895, -83.08079633132574 42.34398880622384)))",Vermont-Alexandrine,0.16,446,Mini
"MULTIPOLYGON (((-83.10698225156354 42.29774125266753, -83.10662344883339 42.29789479875391, -83.10656259599256 42.29781034815026, -83.1069213983874 42.297656802256455, -83.10698225156354 42.29774125266753)))",Post-Jefferson,0.09,449,Mini
"MULTIPOLYGON (((-83.02234549836736 42.359038515080805, -83.02208895811374 42.35914930221421, -83.0220853932782 42.35914379635537, -83.02200219435483 42.35901623665666, -83.02199862953454 42.35901073079506, -83.02226344812755 42.35891461160322, -83.0222670129657 42.35892011745649, -83.02234193351553 42.35903300923, -83.02234549836736 42.359038515080805)))",Elba-Ellery,0.1,452,Mini
"MULTIPOLYGON (((-83.02288812406334 42.36246426256816, -83.02251945152224 42.36259284608996, -83.02238035544941 42.362380849170215, -83.022387779566 42.36237820527217, -83.02274037538929 42.362254895488334, -83.02274779947567 42.362252251566716, -83.02288812406334 42.36246426256816)))",Mt. Elliott-Zender,0.22,461,Mini
"MULTIPOLYGON (((-83.12136395316263 42.34310447370798, -83.12057702688054 42.34341818421067, -83.11937560823534 42.34174498147966, -83.12015631098036 42.34143485346203, -83.12136395316263 42.34310447370798)))",Atkinson,3.5,11,Neighborhood
"MULTIPOLYGON (((-83.05289104572503 42.33258444561821, -83.0522968200862 42.33335339516844, -83.05229460257964 42.33258391209437, -83.05289104572503 42.33258444561821)), ((-83.05220694105722 42.33447512434732, -83.05206415025386 42.33467015978976, -83.05195950847506 42.334627059758965, -83.05205084100656 42.33436950743006, -83.05216767587423 42.33441639103976, -83.05214616530726 42.33444710225507, -83.05220694105722 42.33447512434732)))",Times Square - Clifford,0.09,434,Plaza
"MULTIPOLYGON (((-83.06392659995316 42.3278800526235, -83.0628542194281 42.32834215588128, -83.06284804696344 42.32834390614543, -83.06231856228494 42.32766579819787, -83.06339710749911 42.327201949707025, -83.06392659995316 42.3278800526235)))",Savage,2.21,419,Mini
"MULTIPOLYGON (((-83.10075886812763 42.37687618106262, -83.10005354133878 42.37713693977656, -83.09955397668547 42.37640608401551, -83.09988424258499 42.37628112463235, -83.10014801695318 42.37665720109328, -83.10016589902749 42.376683807722806, -83.10053966461423 42.37654228150112, -83.10075765873604 42.37687525698722, -83.10075886812763 42.37687618106262)))",Gordon,1.08,12,Mini
"MULTIPOLYGON (((-83.00231115578143 42.44164840062295, -83.00062235496647 42.44168457377499, -83.0005549214549 42.44027323312496, -83.00224370400845 42.44023615060543, -83.00231115578143 42.44164840062295)))",Marruso,5.39,176,Neighborhood
"MULTIPOLYGON (((-83.04826618529441 42.346911923348756, -83.04635690436828 42.34762913543088, -83.0455809343831 42.34647547933907, -83.04749020818315 42.34575736992276, -83.04826618529441 42.346911923348756)))",Duplessis,6.22,22,Neighborhood
"MULTIPOLYGON (((-83.00066612778333 42.420942376683385, -82.99986233843545 42.4212231943867, -82.99945957630501 42.42059002934321, -83.0003129056152 42.420291598155856, -83.00031411435971 42.42029252329926, -83.0005267915212 42.42062654182649, -83.00047724500791 42.42064415824641, -83.00066612778333 42.420942376683385)))",O'Brien,1.45,252,Mini
"MULTIPOLYGON (((-82.92367992995135 42.39856016371675, -82.92374523058434 42.39865842987709, -82.92381051037191 42.39875760635435, -82.92387703966284 42.39885588804109, -82.92394234091569 42.39895415408733, -82.92400764237419 42.39905242009574, -82.92408249643684 42.39916264547674, -82.92416917029159 42.3992930546019, -82.92454709127317 42.399154885922584, -82.92455416621878 42.39916772445861, -82.92464086210543 42.399297222869, -82.92520139707075 42.40013573570074, -82.92400190642006 42.40057581795475, -82.9228571746232 42.39886114089504, -82.92221115835929 42.397895862945255, -82.9230351322973 42.39759490604912, -82.92330823119984 42.398004514422574, -82.92337948230565 42.39811105202701, -82.92345310589643 42.398221262218264, -82.9235445426875 42.398358106732296, -82.92361342233997 42.39846097155905, -82.92367992995135 42.39856016371675)))",Messmer,5.24,254,Neighborhood
"MULTIPOLYGON (((-83.27998098029943 42.419213798449924, -83.27882275980981 42.41924642248863, -83.27873144264477 42.41694273211087, -83.27988963627294 42.41690919858857, -83.27998098029943 42.419213798449924)))",Heckel,6.04,268,Neighborhood
"MULTIPOLYGON (((-83.20246682223092 42.34916303402698, -83.20246436756831 42.349163008847704, -83.20197178327116 42.349180719386624, -83.2019054564271 42.34918277044518, -83.20141288880329 42.34919956815636, -83.20141043413969 42.34919954295429, -83.20137451957436 42.3484270052912, -83.20243089461914 42.348390496697846, -83.20246682223092 42.34916303402698)))",Mansfield-Diversey,1.82,275,Mini
"MULTIPOLYGON (((-83.07462607153705 42.42822441990158, -83.07416755594325 42.42822649047869, -83.0741637510949 42.42811353344279, -83.07419326254107 42.428112958505686, -83.07419006392766 42.42803005799547, -83.07418807531089 42.42794808184186, -83.07376884732363 42.42795241881836, -83.07374570204288 42.42729015297065, -83.07375800932692 42.42728938240456, -83.0741218595386 42.42728805801905, -83.07413414795087 42.42728819779249, -83.07413575663368 42.427329192859425, -83.07431649073955 42.42732669547167, -83.07431291204499 42.427202813873315, -83.07458214108888 42.42720041187318, -83.07459444834487 42.4271996412165, -83.07462607153705 42.42822441990158)))",Yakisch,1.55,288,Mini
"MULTIPOLYGON (((-83.1458615186099 42.34882414637209, -83.14505592058251 42.3488400638197, -83.1450167380404 42.34801920479527, -83.14501677365934 42.34801738400824, -83.14501922825316 42.34801741042991, -83.14538640370273 42.348010435148346, -83.145452731143 42.348008417118024, -83.14581990649127 42.34800144043407, -83.14582236108481 42.348001466838355, -83.1458615186099 42.34882414637209)))",Laker,1.5,36,Mini
"MULTIPOLYGON (((-83.07255451871022 42.39276228652368, -83.0718638214613 42.39301393414784, -83.07086987215109 42.391541090918615, -83.07155585240781 42.39127937911892, -83.07255451871022 42.39276228652368)), ((-83.07219659728875 42.39130307486762, -83.07186487008401 42.39142404504735, -83.07181479960676 42.39135062648576, -83.07214775464912 42.391229670450805, -83.07219659728875 42.39130307486762)))",Bradby,5.06,384,Neighborhood
"MULTIPOLYGON (((-83.07909044949562 42.324622942442964, -83.07881750117714 42.32470817213193, -83.07884236367407 42.32475216297476, -83.07891695137496 42.32488413547042, -83.07899625906443 42.32502526744659, -83.07840221100079 42.325209748536686, -83.07806960147188 42.32461772600032, -83.07875623814758 42.32440606936489, -83.07882725739304 42.32453253783961, -83.07900757423114 42.324476306460134, -83.07909044949562 42.324622942442964)))",Clemente,1.07,483,Mini
"MULTIPOLYGON (((-83.11376369003564 42.34150377441706, -83.11325146094777 42.34170664305329, -83.11274499733247 42.341010820384916, -83.11325844950744 42.340807967587374, -83.11376369003564 42.34150377441706)))",30th-Herbert,1.04,485,Mini
"MULTIPOLYGON (((-83.10465127668958 42.31307246780053, -83.10417498819834 42.313267497787315, -83.10330580161467 42.31208133515661, -83.1033181778766 42.312076009452156, -83.10376970759299 42.3118916345739, -83.10378206537791 42.31188721920599, -83.10465127668958 42.31307246780053)))",Military-Regular,1.66,491,Mini
"MULTIPOLYGON (((-83.12168523283474 42.364486803328376, -83.12167378489403 42.364506710730396, -83.12112301119505 42.365464071971545, -83.12112174723457 42.3654658792813, -83.12061296703192 42.36530276409689, -83.12117523152584 42.364323677197696, -83.1211776685888 42.36432461452447, -83.12168523283474 42.364486803328376)))",McShane,1.34,55,Mini
"MULTIPOLYGON (((-83.02877999286528 42.427300524426975, -83.02728462025313 42.42733481311476, -83.02725823745105 42.426789051065406, -83.02875236817316 42.42675474825619, -83.02877999286528 42.427300524426975)))",Howarth,1.85,85,Mini
"MULTIPOLYGON (((-83.02279770418444 42.355484313868956, -83.02196383811368 42.35578040138471, -83.02196264990289 42.35577856609703, -83.02155141549132 42.35514901804921, -83.02155024691614 42.35514627238414, -83.0223457629609 42.354863392852295, -83.02234693156575 42.354866138509195, -83.02238616195793 42.35492579249086, -83.02242571331354 42.35491351243837, -83.02279770418444 42.355484313868956)))",Calcara,1.33,87,Mini
"MULTIPOLYGON (((-83.10929151136024 42.33879174203462, -83.10858868270215 42.339073520034034, -83.10819232396732 42.33852094911084, -83.10889514819596 42.33823917356464, -83.10929151136024 42.33879174203462)))",Sak,1.13,92,Mini
"MULTIPOLYGON (((-83.16568790324449 42.430595525080044, -83.16568544539211 42.430595499105436, -83.16460513992583 42.43059017140681, -83.16458921384144 42.43115939553602, -83.1639662688385 42.43116391637921, -83.1639715705375 42.4308889966975, -83.16339886833664 42.430882934313196, -83.16339854317702 42.43066227126239, -83.16286707751459 42.43065664278646, -83.16286229507243 42.430904409862876, -83.16270652005363 42.430902759659666, -83.16270769944202 42.43084166640979, -83.1625015268376 42.43083948199112, -83.16250041278015 42.43089718116955, -83.16199643489732 42.43089183989999, -83.1619797857885 42.42961862687948, -83.16418290495594 42.429600736412475, -83.16418294006196 42.42959891562323, -83.16566570260699 42.4295781724707, -83.16568790324449 42.430595525080044)))",Gmeiner,10.21,397,Neighborhood
"MULTIPOLYGON (((-83.01845300095438 42.37664926206365, -83.01923715280272 42.37635222363376, -83.01977948583264 42.37712452526577, -83.01896040915898 42.377413231562684, -83.01845300095438 42.37664926206365)))",St. Anthony,1.72,160,Mini
"MULTIPOLYGON (((-83.09222240322153 42.42787039550332, -83.09177841379221 42.42788362711112, -83.09169169016974 42.4262936711186, -83.09169291899528 42.426293684906035, -83.09213443947465 42.42628042606625, -83.09213566830002 42.42628043984889, -83.09222240322153 42.42787039550332)))",Hawthorne,1.6,326,Mini
"MULTIPOLYGON (((-83.21488608325596 42.39788344736649, -83.21454066427118 42.397894513348774, -83.21431829296138 42.397894989252094, -83.21397250202608 42.39772666670144, -83.21484451382437 42.39674116646455, -83.21488608325596 42.39788344736649)))",Ramsey,1.3,402,Mini
"MULTIPOLYGON (((-83.0526013578284 42.41519343583761, -83.05029712167068 42.41525417890864, -83.05024315605498 42.41309452271087, -83.05020998503615 42.41309413834432, -83.05017591510241 42.41179705007287, -83.05226476241468 42.41174656752977, -83.0526013578284 42.41519343583761)))",Lasky,17.14,99,Neighborhood
"MULTIPOLYGON (((-83.11204917243197 42.344243010554685, -83.11075497339894 42.34426420835565, -83.1104874750008 42.34389336903314, -83.11096383088879 42.34370559568823, -83.11099722250754 42.34375422646821, -83.11153916640762 42.343539858716255, -83.11204917243197 42.344243010554685)))",Watson,1.59,197,Mini
"MULTIPOLYGON (((-83.10869545763376 42.315551402094464, -83.10851122160537 42.31556119644899, -83.10815477085194 42.31522760820679, -83.10740559059498 42.31423039138862, -83.1078830479412 42.31403809261391, -83.10866557133609 42.315085758531154, -83.10866815148302 42.31514042261985, -83.10869564092778 42.31554229821493, -83.10869545763376 42.315551402094464)))",Boyer,1.77,19,Mini
"MULTIPOLYGON (((-82.95349640731851 42.447343394589275, -82.95238689773834 42.44736328834074, -82.95236289566633 42.44663267620829, -82.95236299891825 42.44662812441623, -82.95347468556832 42.44662009612336, -82.95349640731851 42.447343394589275)))",Bringard-Boulder,1.83,245,Mini
